api_name,description,input_params,output_params,begin_line_number,end_line_number,line_count,source,return_type,query_type
stock_hot_keyword_em,东方财富-个股人气榜-热门关键词,"[{'name': 'symbol', 'type': 'str', 'description': 'symbol=""SZ000665""'}]","[{'name': '时间', 'type': 'object', 'description': '-'}, {'name': '股票代码', 'type': 'object', 'description': '-'}, {'name': '概念名称', 'type': 'object', 'description': '-'}, {'name': '概念代码', 'type': 'object', 'description': '-'}, {'name': '热度', 'type': 'int64', 'description': '-'}]",22918,22968,50,东方财富,DataFrame,单个查询
stock_inner_trade_xq,雪球-行情中心-沪深股市-内部交易,[],"[{'name': '股票代码', 'type': 'object', 'description': '-'}, {'name': '股票名称', 'type': 'object', 'description': '-'}, {'name': '变动日期', 'type': 'object', 'description': '-'}, {'name': '变动人', 'type': 'object', 'description': '-'}, {'name': '变动股数', 'type': 'int64', 'description': '-'}, {'name': '成交均价', 'type': 'float64', 'description': '-'}, {'name': '变动后持股数', 'type': 'float64', 'description': '-'}, {'name': '与董监高关系', 'type': 'object', 'description': '-'}, {'name': '董监高职务', 'type': 'object', 'description': '-'}]",22969,23027,58,雪球,DataFrame,批量查询
stock_hot_rank_latest_em,东方财富-个股人气榜-最新排名,"[{'name': 'symbol', 'type': 'str', 'description': 'symbol=""SZ000665""'}]","[{'name': 'item', 'type': 'object', 'description': '-'}, {'name': 'value', 'type': 'object', 'description': '-'}]",23028,23075,47,东方财富,DataFrame,单个查询
stock_hk_hot_rank_latest_em,东方财富-个股人气榜-最新排名,"[{'name': 'symbol', 'type': 'str', 'description': 'symbol=""00700""'}]","[{'name': 'item', 'type': 'object', 'description': '-'}, {'name': 'value', 'type': 'object', 'description': '-'}]",23076,23123,47,东方财富,DataFrame,单个查询
stock_hot_search_baidu,百度股市通-热搜股票,"[{'name': 'symbol', 'type': 'str', 'description': 'symbol=""A股""; choice of {""全部"", ""A股"", ""港股"", ""美股""}'}, {'name': 'date', 'type': 'str', 'description': 'date=""20250616""'}, {'name': 'time', 'type': 'str', 'description': 'time=""今日""; choice of {""今日"", ""1小时""}'}]","[{'name': '名称/代码', 'type': 'object', 'description': '-'}, {'name': '涨跌幅', 'type': 'object', 'description': '-'}, {'name': '综合热度', 'type': 'int64', 'description': '-'}]",23124,23176,52,百度股市通,DataFrame,单个查询
stock_hot_rank_relate_em,东方财富-个股人气榜-相关股票,"[{'name': 'symbol', 'type': 'str', 'description': 'symbol=""SZ000665""'}]","[{'name': '时间', 'type': 'object', 'description': '-'}, {'name': '股票代码', 'type': 'object', 'description': '-'}, {'name': '相关股票代码', 'type': 'object', 'description': '-'}, {'name': '涨跌幅', 'type': 'float64', 'description': '-'}]",23177,23226,49,东方财富,DataFrame,单个查询
stock_changes_em,东方财富-行情中心-盘口异动数据,"[{'name': 'symbol', 'type': 'str', 'description': 'symbol=""大笔买入""; choice of {\'火箭发射\', \'快速反弹\', \'大笔买入\', \'封涨停板\', \'打开跌停板\', \'有大买盘\', \'竞价上涨\', \'高开5日线\', \'向上缺口\', \'60日新高\', \'60日大幅上涨\', \'加速下跌\', \'高台跳水\', \'大笔卖出\', \'封跌停板\', \'打开涨停板\', \'有大卖盘\', \'竞价下跌\', \'低开5日线\', \'向下缺口\', \'60日新低\', \'60日大幅下跌\'}'}]","[{'name': '时间', 'type': 'object', 'description': '-'}, {'name': '代码', 'type': 'object', 'description': '-'}, {'name': '板块', 'type': 'object', 'description': '-'}, {'name': '相关信息', 'type': 'object', 'description': '注意: 不同的 symbol 的单位不同'}]",23227,23279,52,东方财富,DataFrame,单个查询
stock_board_change_em,东方财富-行情中心-当日板块异动详情,[],"[{'name': '板块名称', 'type': 'object', 'description': '-'}, {'name': '涨跌幅', 'type': 'float64', 'description': '注意单位: %'}, {'name': '主力净流入', 'type': 'float64', 'description': '注意单位: 万元'}, {'name': '板块异动总次数', 'type': 'float64', 'description': '-'}, {'name': '板块异动最频繁个股及所属类型-股票代码', 'type': 'object', 'description': '-'}, {'name': '板块异动最频繁个股及所属类型-股票名称', 'type': 'object', 'description': '-'}, {'name': '板块异动最频繁个股及所属类型-买卖方向', 'type': 'object', 'description': '-'}, {'name': '板块具体异动类型列表及出现次数', 'type': 'object', 'description': '返回具体异动的字典'}]",23280,23337,57,东方财富,DataFrame,批量查询
stock_zt_pool_em,东方财富网-行情中心-涨停板行情-涨停股池,"[{'name': 'date', 'type': 'str', 'description': ""date='20241008'""}]","[{'name': '序号', 'type': 'int64', 'description': '-'}, {'name': '代码', 'type': 'object', 'description': '-'}, {'name': '涨跌幅', 'type': 'float64', 'description': '注意单位: %'}, {'name': '最新价', 'type': 'float64', 'description': '-'}, {'name': '成交额', 'type': 'int64', 'description': '-'}, {'name': '流通市值', 'type': 'float64', 'description': '-'}, {'name': '总市值', 'type': 'float64', 'description': '-'}, {'name': '换手率', 'type': 'float64', 'description': '注意单位: %'}, {'name': '封板资金', 'type': 'int64', 'description': '-'}, {'name': '首次封板时间', 'type': 'object', 'description': '注意格式: 09:25:00'}, {'name': '最后封板时间', 'type': 'object', 'description': '注意格式: 09:25:00'}, {'name': '炸板次数', 'type': 'int64', 'description': '-'}, {'name': '涨停统计', 'type': 'object', 'description': '-'}, {'name': '连板数', 'type': 'int64', 'description': '注意格式: 1 为首板'}, {'name': '所属行业', 'type': 'object', 'description': '-'}]",23338,23401,63,东方财富,DataFrame,批量查询
stock_zt_pool_previous_em,东方财富网-行情中心-涨停板行情-昨日涨停股池,"[{'name': 'date', 'type': 'str', 'description': ""date='20240415'""}]","[{'name': '序号', 'type': 'int32', 'description': '-'}, {'name': '代码', 'type': 'object', 'description': '-'}, {'name': '涨跌幅', 'type': 'float64', 'description': '注意单位: %'}, {'name': '最新价', 'type': 'int64', 'description': '-'}, {'name': '涨停价', 'type': 'int64', 'description': '-'}, {'name': '成交额', 'type': 'int64', 'description': '-'}, {'name': '流通市值', 'type': 'float64', 'description': '-'}, {'name': '总市值', 'type': 'float64', 'description': '-'}, {'name': '换手率', 'type': 'float64', 'description': '注意单位: %'}, {'name': '涨速', 'type': 'float64', 'description': '注意单位: %'}, {'name': '振幅', 'type': 'float64', 'description': '注意单位: %'}, {'name': '昨日封板时间', 'type': 'int64', 'description': '注意格式: 09:25:00'}, {'name': '昨日连板数', 'type': 'int64', 'description': '注意格式: 1 为首板'}, {'name': '涨停统计', 'type': 'object', 'description': '-'}, {'name': '所属行业', 'type': 'object', 'description': '-'}]",23402,23513,111,东方财富,DataFrame,批量查询
